Nomestado,Nommunicipio,Volumen,Valor
Puebla,Tepexi de Rodríguez,11,508
Puebla,Tepeyahualco de Cuauhtémoc,8,342
Puebla,Tlacotepec de Benito Juárez,55,2331
Puebla,Tlanepantla,5,219
Puebla,Tochtepec,19,794
Puebla,Xochitlán Todos Santos,13,539
Puebla,Yehualtepec,16,687
Puebla,Zacapala,5,222
Puebla,Ajalpan,10,528
Puebla,Caltepec,6,312
Puebla,Chapulco,4,204
Puebla,Coxcatlán,9,449
Puebla,San Antonio Cañada,4,207
Puebla,San Gabriel Chilac,6,319
Puebla,San José Miahuatlán,6,312
Puebla,Santiago Miahuatlán,9,472
Puebla,Tehuacán,22,1130
Puebla,Zapotitlán,6,297
Puebla,Zinacatepec,6,301
Puebla,Acateno,13,544
Puebla,Atempan,32,1345
Puebla,Ayotoxco de Guerrero,14,598
Puebla,Cuetzalan del Progreso,40,1669
Puebla,Huehuetla,2,91
Puebla,Hueyapan,17,727
Puebla,Hueytamalco,2,76
Puebla,Hueytlalpan,5,207
Puebla,Huitzilan de Serdán,15,643
Puebla,Ixtepec,14,572
Puebla,Jonotla,34,1454
Puebla,Olintla,2,84
Puebla,Tenampulco,9,380
Puebla,Teziutlán,2,93
Puebla,Tlatlauquitepec,36,1548
Puebla,Tuzamapan de Galeana,2,63
Puebla,Xochiapulco,30,1261
Puebla,Xochitlán de Vicente Suárez,20,839
Puebla,Yaonáhuac,11,454
Puebla,Zacapoaxtla,25,1038
Puebla,Zapotitlán de Méndez,27,1120
Puebla,Zaragoza,30,1277
Puebla,Zautla,20,835
Puebla,Zongozotla,6,266
Puebla,Ahuacatlán,7,310
Puebla,Amixtlán,7,292
Puebla,Aquixtla,8,338
Puebla,Camocuautla,6,231
Puebla,Chignahuapan,28,1187
Puebla,Coatepec,4,143
Puebla,Cuautempan,7,284
Puebla,Ixtacamaxtitlán,9,355
Puebla,Tepango de Rodríguez,8,310
Puebla,Tepetzintla,9,375
Puebla,Tetela de Ocampo,7,302
Puebla,Zacatlán,25,1033
Querétaro,Cadereyta de Montes,0,16
Querétaro,Colón,16,717
Querétaro,Ezequiel Montes,2,78
Querétaro,Tolimán,2,111
Querétaro,Arroyo Seco,4,208
Querétaro,Jalpan de Serra,5,246
Querétaro,Landa de Matamoros,1,52
Querétaro,Pinal de Amoles,1,35
Querétaro,Corregidora,6,233
Querétaro,El Marqués,16,667
Querétaro,Huimilpan,9,359
Querétaro,Querétaro,46,1907
Querétaro,Pedro Escobedo,1,44
Querétaro,San Juan del Río,6,246
Quintana Roo,Isla Mujeres,1,56
Quintana Roo,Lázaro Cárdenas,110,3496
Quintana Roo,Puerto Morelos,7,278
Quintana Roo,Solidaridad,4,150
Quintana Roo,Tulum,233,8347
Quintana Roo,Bacalar,591,21917
Quintana Roo,Othón P. Blanco,312,10861
Quintana Roo,Felipe Carrillo Puerto,1510,54325
Quintana Roo,José María Morelos,862,33438
San Luis Potosí,Ciudad Fernández,5,284
San Luis Potosí,Rioverde,43,2098
San Luis Potosí,San Ciro de Acosta,3,156
San Luis Potosí,San Nicolás Tolentino,8,398
San Luis Potosí,Aquismón,8,430
San Luis Potosí,Axtla de Terrazas,4,204
San Luis Potosí,Ciudad Valles,57,2999
San Luis Potosí,Coxcatlán,7,394
San Luis Potosí,Huehuetlán,4,206
San Luis Potosí,Matlapa,10,515
San Luis Potosí,San Antonio,10,511
San Luis Potosí,San Martín Chalchicuautla,25,1261
San Luis Potosí,Tamazunchale,26,1321
San Luis Potosí,Tampacán,6,316
San Luis Potosí,Tampamolón Corona,47,2431
San Luis Potosí,Tancanhuitz,10,550
San Luis Potosí,Tanlajás,17,868
San Luis Potosí,Tanquián de Escobedo,10,515
San Luis Potosí,Xilitla,8,475
San Luis Potosí,Ebano,42,1942
San Luis Potosí,Tamuín,29,1353
San Luis Potosí,Catorce,3,163
San Luis Potosí,Charcas,4,225
San Luis Potosí,Matehuala,136,6283
San Luis Potosí,Vanegas,0,24
San Luis Potosí,Venado,47,2212
San Luis Potosí,Villa de Guadalupe,4,200
San Luis Potosí,Cerritos,82,3843
San Luis Potosí,Guadalcázar,8,422
San Luis Potosí,Lagunillas,0,20
San Luis Potosí,Rioverde,10,514
San Luis Potosí,Santa Catarina,3,136
San Luis Potosí,Villa Juárez,2,119
San Luis Potosí,Ahualulco,38,1751
San Luis Potosí,Armadillo de Los Infante,32,1463
San Luis Potosí,Cerro de San Pedro,3,140
San Luis Potosí,Mexquitic de Carmona,23,1092
San Luis Potosí,Moctezuma,4,225
San Luis Potosí,San Luis Potosí,55,2473
San Luis Potosí,Santa María del Río,7,313
San Luis Potosí,Soledad de Graciano Sánchez,19,878
San Luis Potosí,Tierra Nueva,5,259
San Luis Potosí,Villa de Arista,7,337
San Luis Potosí,Villa de Arriaga,56,2558
San Luis Potosí,Villa de Reyes,9,449
San Luis Potosí,Villa Hidalgo,228,10507
San Luis Potosí,Zaragoza,4,194
Sinaloa,Badiraguato,1,53
Sinaloa,Culiacán,31,1374
Sinaloa,Mocorito,2,106
Sinaloa,Navolato,22,973
Sinaloa,Angostura,1,29
Sinaloa,Mocorito,1,28
Sinaloa,Salvador Alvarado,0,16
Sinaloa,Guasave,1,68
Sinaloa,Sinaloa,0,9
Sinaloa,Cosalá,2,138
Sinaloa,Elota,1,73
Sinaloa,San Ignacio,2,92
Sinaloa,Ahome,57,2450
Sinaloa,Choix,9,379
Sinaloa,El Fuerte,33,1421
Sinaloa,Guasave,5,210
Sinaloa,Escuinapa,2,88
Sinaloa,Mazatlán,2,113
Sinaloa,Rosario,16,667
Sonora,Altar,0,5
Sonora,Caborca,10,488
Sonora,Pitiquito,8,398
Sonora,Empalme,1,50
Sonora,Guaymas,1,50
Sonora,Carbó,3,177
Sonora,Hermosillo,221,10154
Sonora,San Miguel de Horcasitas,2,106
Sonora,La Colorada,12,577
Sonora,Mazatán,2,110
Sonora,San Pedro de La Cueva,31,1504
Sonora,Alamos,66,3115
Sonora,Etchojoa,11,542
Sonora,Huatabampo,72,3411
Sonora,Navojoa,21,1031
Sonora,San Luis Río Colorado,6,288
Sonora,Aconchi,2,100
Sonora,Arizpe,1,39
Sonora,Baviácora,4,220
Sonora,Huépac,1,27
Sonora,Rayón,6,276
Sonora,Ures,48,2259
Tabasco,Cárdenas,13,653
Tabasco,Comalcalco,20,895
Tabasco,Cunduacán,22,966
Tabasco,Huimanguillo,88,3781
Tabasco,Jalpa de Méndez,14,710
Tabasco,Nacajuca,5,259
Tabasco,Paraíso,21,1046
Tabasco,Balancán,29,1372
Tabasco,Emiliano Zapata,3,170
Tabasco,Jonuta,6,298
Tabasco,Tenosique,41,1855
Tabasco,Centla,26,1127
Tabasco,Centro,12,502
Tabasco,Jalapa,1,69
Tabasco,Macuspana,9,430
Tabasco,Tacotalpa,78,3336
Tabasco,Teapa,2,105
Tamaulipas,Abasolo,6,327
Tamaulipas,Soto La Marina,24,1362
Tamaulipas,Aldama,49,2210
Tamaulipas,Altamira,18,977
Tamaulipas,González,26,1207
Tamaulipas,Jaumave,6,323
Tamaulipas,Tula,2,90
Tamaulipas,Antiguo Morelos,8,407
Tamaulipas,El Mante,27,1335
Tamaulipas,Gómez Farías,2,94
Tamaulipas,González,2,92
Tamaulipas,Nuevo Morelos,15,730
Tamaulipas,Ocampo,23,1177
Tamaulipas,Xicoténcatl,3,131
Tamaulipas,Casas,3,137
Tamaulipas,Güémez,63,3045
Tamaulipas,Hidalgo,26,1409
Tamaulipas,Llera,293,13834
Tamaulipas,Mainero,37,2158
Tamaulipas,Padilla,75,4061
Tamaulipas,San Carlos,15,805
Tamaulipas,San Nicolás,17,1028
Tamaulipas,Victoria,65,3035
Tamaulipas,Villagrán,53,2971
Tlaxcala,Apizaco,24,1014
Tlaxcala,Atlangatepec,11,482
Tlaxcala,Benito Juárez,64,2701
Tlaxcala,Calpulalpan,16,673
Tlaxcala,Españita,16,684
Tlaxcala,Hueyotlipan,10,436
Tlaxcala,Muñoz de Domingo Arenas,4,188
Tlaxcala,Nanacamilpa de Mariano Arista,42,1775
Tlaxcala,Sanctórum de Lázaro Cárdenas,18,746
Tlaxcala,Tetla de La Solidaridad,6,249
Tlaxcala,Tlaxco,14,597
Tlaxcala,Atltzayanca,52,2238
Tlaxcala,Cuapiaxtla,47,2019
Tlaxcala,El Carmen Tequexquitla,13,567
Tlaxcala,Emiliano Zapata,0,12
Tlaxcala,Huamantla,153,6499
Tlaxcala,Ixtenco,16,666
Tlaxcala,Lázaro Cárdenas,1,24
Tlaxcala,San José Teacalco,14,601
Tlaxcala,Terrenate,22,960
Tlaxcala,Tocatlán,1,56
Tlaxcala,Tzompantepec,53,2301
Tlaxcala,Xaloztoc,60,2624
Tlaxcala,Ziltlaltépec de Trinidad Sánchez Santos,88,3747
Tlaxcala,Acuamanala de Miguel Hidalgo,1,57
Tlaxcala,Amaxac de Guerrero,3,131
Tlaxcala,Apetatitlán de Antonio Carvajal,5,251
Tlaxcala,Chiautempan,15,689
Tlaxcala,Contla de Juan Cuamatzi,10,469
Tlaxcala,Cuaxomulco,8,415
Tlaxcala,Ixtacuixtla de Mariano Matamoros,30,1368
Tlaxcala,La Magdalena Tlaltelulco,35,1475
Tlaxcala,Mazatecochco de José María Morelos,2,106
Tlaxcala,Natívitas,14,642
Tlaxcala,Panotla,4,218
Tlaxcala,Papalotla de Xicohténcatl,48,2030
Tlaxcala,San Damián Texóloc,4,200
Tlaxcala,San Francisco Tetlanohcan,8,367
Tlaxcala,San Jerónimo Zacualpan,2,106
Tlaxcala,San Lorenzo Axocomanitla,7,359
Tlaxcala,San Lucas Tecopilco,2,113
Tlaxcala,Santa Ana Nopalucan,4,204
Tlaxcala,Santa Apolonia Teacalco,2,125
Tlaxcala,Santa Catarina Ayometla,2,120
Tlaxcala,Santa Cruz Tlaxcala,9,423
Tlaxcala,Teolocholco,3,153
Tlaxcala,Tepetitla de Lardizábal,25,1134
Tlaxcala,Tepeyanco,19,855
Tlaxcala,Tetlatlahuca,3,159
Tlaxcala,Tlaxcala,2,104
Tlaxcala,Totolac,7,354
Tlaxcala,Xaltocan,4,217
Tlaxcala,Xicohtzinco,2,125
Tlaxcala,Yauhquemehcan,6,291
Tlaxcala,Zacatelco,2,105
Veracruz,Uxpanapa,21,1136
Veracruz,Tierra Blanca,55,2261
Veracruz,Altotonga,34,1797
Veracruz,Apazapan,1,50
Veracruz,Ayahualulco,21,1118
Veracruz,Coatepec,537,22125
Veracruz,Cosautlán de Carvajal,112,4605
Veracruz,Emiliano Zapata,70,2869
Veracruz,Ixhuacán de Los Reyes,42,1770
Veracruz,Jalacingo,26,1349
Veracruz,Las Vigas de Ramírez,11,569
Veracruz,Perote,33,1722
Veracruz,Teocelo,118,4885
Veracruz,Xalapa,10,435
Veracruz,Xico,56,2344
Veracruz,Amatlán de Los Reyes,121,5900
Veracruz,Atoyac,17,949
Veracruz,Carrillo Puerto,17,961
Veracruz,Coetzala,7,342
Veracruz,Comapa,24,1420
Veracruz,Córdoba,39,1898
Veracruz,Coscomatepec,138,8107
Veracruz,Cuichapa,40,2064
Veracruz,Cuitláhuac,1,44
Veracruz,Fortín,7,342
Veracruz,Huatusco,61,3578
Veracruz,Ixhuatlán del Café,10,609
Veracruz,Ixtaczoquitlán,8,410
Veracruz,Los Reyes,2,147
Veracruz,Omealca,68,3500
Veracruz,Paso del Macho,11,632
Veracruz,Tehuipango,0,15
Veracruz,Tepatlaxco,4,243
Veracruz,Tequila,5,283
Veracruz,Tezonapa,74,3769
Veracruz,Tlaltetela,18,1039
Veracruz,Tomatlán,1,60
Veracruz,Totutla,10,611
Veracruz,Yanga,3,172
Veracruz,Zentla,17,1018
Veracruz,Zongolica,11,671
Veracruz,Ilamatlán,2,65
Veracruz,Ixhuatlán de Madero,6,254
Veracruz,Texcatepec,2,86
Veracruz,Tlachichilco,23,1219
Veracruz,Zontecomatlán de López Y Fuentes,10,383
Veracruz,Acayucan,11,466
Veracruz,Chinameca,4,175
Veracruz,Hueyapan de Ocampo,2,85
Veracruz,Jáltipan,10,432
Veracruz,Jesús Carranza,2,75
Veracruz,Mecayapan,8,325
Veracruz,Oluta,3,121
Veracruz,Oteapan,1,51
Veracruz,Pajapan,2,79
Veracruz,San Juan Evangelista,1,55
Veracruz,Sayula de Alemán,3,115
Veracruz,Soconusco,8,327
Veracruz,Soteapan,3,105
Veracruz,Tatahuicapan de Juárez,1,45
Veracruz,Texistepec,2,87
Veracruz,Actopan,3,186
Veracruz,Alto Lucero de Gutiérrez Barrios,4,226
Veracruz,La Antigua,2,91
Veracruz,Paso de Ovejas,2,123
Veracruz,Puente Nacional,39,2690
Veracruz,Ursulo Galván,4,249
Veracruz,Atzalan,68,2748
Veracruz,Chumatlán,8,374
Veracruz,Coahuitlán,2,126
Veracruz,Colipa,43,1898
Veracruz,Coxquihui,14,730
Veracruz,Coyutla,43,1905
Veracruz,Espinal,29,1315
Veracruz,Filomeno Mata,9,411
Veracruz,Gutiérrez Zamora,27,1083
Veracruz,Juchique de Ferrer,45,1982
Veracruz,Martínez de La Torre,88,3567
Veracruz,Mecatlán,5,230
Veracruz,Misantla,92,4075
Veracruz,Nautla,65,2822
Veracruz,Papantla,387,14542
Veracruz,San Rafael,124,4918
Veracruz,Tecolutla,68,2758
Veracruz,Tenochtitlán,13,616
Veracruz,Tlapacoyan,150,5966
Veracruz,Vega de Alatorre,76,3351
Veracruz,Yecuatla,59,2573
Veracruz,Zozocolco de Hidalgo,3,153
Veracruz,Benito Juárez,2,127
Veracruz,Chalma,12,615
Veracruz,Chiconamel,8,394
Veracruz,Chicontepec,150,7497
Veracruz,Chinampa de Gorostiza,3,158
Veracruz,Citlaltépetl,1,40
Veracruz,Ozuluama de Mascareñas,16,818
Veracruz,Pánuco,76,3790
Veracruz,Platón Sánchez,1,71
Veracruz,Tamalín,5,237
Veracruz,Tampico Alto,7,347
Veracruz,Tantima,17,869
Veracruz,Tantoyuca,25,1255
Veracruz,Tempoal,5,271
Veracruz,Álamo Temapache,200,8392
Veracruz,Castillo de Teayo,39,1733
Veracruz,Cazones de Herrera,3,184
Veracruz,Cerro Azul,21,926
Veracruz,Coatzintla,2,99
Veracruz,Tamiahua,29,1013
Veracruz,Tihuatlán,61,2678
Veracruz,Tuxpan,158,5522
Veracruz,Alvarado,56,2347
Veracruz,Boca del Río,7,287
Veracruz,Camarón de Tejeda,43,1780
Veracruz,Cotaxtla,26,1065
Veracruz,Ignacio de La Llave,9,390
Veracruz,Jamapa,16,669
Veracruz,Manlio Fabio Altamirano,12,494
Veracruz,Medellín,22,935
Veracruz,Soledad de Doblado,330,13548
Veracruz,Tlalixcoyan,15,607
Veracruz,Veracruz,26,1074
Yucatán,Abalá,73,2837
Yucatán,Acanceh,61,2320
Yucatán,Baca,56,2217
Yucatán,Bokobá,50,1827
Yucatán,Cacalchén,42,1522
Yucatán,Cansahcab,65,2658
Yucatán,Celestún,4,123
Yucatán,Chicxulub Pueblo,22,887
Yucatán,Chocholá,95,3739
Yucatán,Conkal,22,879
Yucatán,Cuzamá,70,2749
Yucatán,Dzemul,34,1329
Yucatán,Dzidzantún,68,2718
Yucatán,Dzilam de Bravo,16,558
Yucatán,Dzilam González,29,1222
Yucatán,Dzoncauich,22,915
Yucatán,Halachó,406,15827
Yucatán,Hocabá,140,5501
Yucatán,Hoctún,73,2661
Yucatán,Homún,139,5391
Yucatán,Huhí,91,3573
Yucatán,Hunucmá,233,9260
Yucatán,Ixil,18,680
Yucatán,Izamal,317,12349
Yucatán,Kanasín,33,1262
Yucatán,Kantunil,117,4294
Yucatán,Kinchil,204,8036
Yucatán,Kopomá,43,1573
Yucatán,Maxcanú,307,11808
Yucatán,Mérida,212,8467
Yucatán,Mocochá,24,943
Yucatán,Motul,124,5003
Yucatán,Muxupip,22,840
Yucatán,Opichén,197,7344
Yucatán,Progreso,9,362
Yucatán,Samahil,77,2759
Yucatán,Sanahcat,27,1362
Yucatán,Seyé,59,2412
Yucatán,Sinanché,24,922
Yucatán,Sudzal,64,2323
Yucatán,Suma,36,1528
Yucatán,Tahmek,90,3323
Yucatán,Tecoh,106,5155
Yucatán,Tekal de Venegas,109,3987
Yucatán,Tekantó,28,1030
Yucatán,Tekit,149,5758
Yucatán,Telchac Pueblo,13,413
Yucatán,Temax,58,2345
Yucatán,Tepakán,111,4096
Yucatán,Tetiz,94,3392
Yucatán,Teya,32,1141
Yucatán,Timucuy,57,2160
Yucatán,Tixkokob,93,3713
Yucatán,Tixpéhual,32,1230
Yucatán,Ucú,21,603
Yucatán,Umán,136,5379
Yucatán,Xocchel,35,1230
Yucatán,Yaxkukul,29,1144
Yucatán,Yobaín,7,265
Yucatán,Akil,100,3822
Yucatán,Chacsinkín,71,2730
Yucatán,Chapab,77,2876
Yucatán,Chumayel,106,3968
Yucatán,Dzán,22,846
Yucatán,Mama,211,8041
Yucatán,Maní,27,1019
Yucatán,Muna,211,7883
Yucatán,Oxkutzcab,435,16961
Yucatán,Peto,163,6144
Yucatán,Sacalum,124,4676
Yucatán,Santa Elena,211,7849
Yucatán,Tahdziú,109,4209
Yucatán,Teabo,96,3713
Yucatán,Tekax,503,19609
Yucatán,Ticul,214,8195
Yucatán,Tixmehuac,106,4040
Yucatán,Tzucacab,229,8602
Yucatán,Buctzotz,43,1549
Yucatán,Calotmul,105,3868
Yucatán,Cenotillo,41,1462
Yucatán,Dzitás,62,2199
Yucatán,Espita,133,4723
Yucatán,Panabá,19,667
Yucatán,Quintana Roo,23,801
Yucatán,Río Lagartos,6,221
Yucatán,Sucilá,82,2922
Yucatán,Temozón,155,5738
Yucatán,Tizimín,962,36556
Yucatán,Tunkás,112,3968
Yucatán,Cantamayec,116,4261
Yucatán,Chankom,181,6917
Yucatán,Chemax,177,6738
Yucatán,Chichimilá,77,2923
Yucatán,Chikindzonot,212,8189
Yucatán,Cuncunul,37,1391
Yucatán,Kaua,43,1672
Yucatán,Mayapán,110,4079
Yucatán,Sotuta,200,7396
Yucatán,Tekom,46,1794
Yucatán,Tinum,120,4727
Yucatán,Tixcacalcupul,110,4236
Yucatán,Uayma,57,2223
Yucatán,Valladolid,240,9362
Yucatán,Yaxcabá,177,6547
Zacatecas,Concepción del Oro,1,61
Zacatecas,El Salvador,0,20
Zacatecas,Mazapil,2,73
Zacatecas,Melchor Ocampo,0,11
Zacatecas,Fresnillo,211,9253
Zacatecas,Valparaíso,21,923
Zacatecas,Apozol,15,650
Zacatecas,Apulco,16,688
Zacatecas,Huanusco,9,399
Zacatecas,Jalpa,46,2019
Zacatecas,Juchipila,29,1274
Zacatecas,Mezquital del Oro,11,502
Zacatecas,Moyahua de Estrada,28,1240
Zacatecas,Nochistlán de Mejía,26,1155
Zacatecas,Tabasco,36,1586
Zacatecas,Jerez,29,1240
Zacatecas,Monte Escobedo,1,54
Zacatecas,Susticacán,1,34
Zacatecas,Tepetongo,0,14
Zacatecas,Villanueva,27,1113
Zacatecas,Cuauhtémoc,21,964
Zacatecas,Genaro Codina,15,693
Zacatecas,General Pánfilo Natera,34,1508
Zacatecas,Loreto,32,1443
Zacatecas,Luis Moya,51,2273
Zacatecas,Noria de Ángeles,24,1092
Zacatecas,Ojocaliente,98,4279
Zacatecas,Pinos,53,2318
Zacatecas,Villa García,34,1507
Zacatecas,Villa González Ortega,31,1334
Zacatecas,Villa Hidalgo,21,961
Zacatecas,Chalchihuites,8,383
Zacatecas,General Francisco R. Murguía,3,147
Zacatecas,Jiménez del Teul,3,145
Zacatecas,Juan Aldama,38,1643
Zacatecas,Miguel Auza,57,2448
Zacatecas,Río Grande,91,3915
Zacatecas,Sain Alto,3,153
Zacatecas,Sombrerete,43,1989
Zacatecas,Momax,6,279
Zacatecas,Tepechitlán,20,930
Zacatecas,Teúl de González Ortega,4,186
Zacatecas,Tlaltenango de Sánchez Román,8,372
Zacatecas,Trinidad García de La Cadena,20,930
Zacatecas,Calera,26,1111
Zacatecas,General Enrique Estrada,9,393
Zacatecas,Guadalupe,313,13779
Zacatecas,Morelos,20,880
Zacatecas,Pánuco,6,259
Zacatecas,Trancoso,30,1337
Zacatecas,Vetagrande,7,317
Zacatecas,Villa de Cos,19,811
Zacatecas,Zacatecas,151,6537
