PLAGA,TIPO,CAUSADA POR ,DAÑOS,PRESENCIA EN MÉXICO,PREVENCIÓN,CONTROL
"Polillas, palomillas o alevillas de la Cera (causa enormes pérdidas económicas por la gran cantidad de panales que destruye)",MELÍFERA,Galleria Mellonella (polilla mayor de la cera) Achroia grisella (polilla menos de la cera),*Panales perforados/destruidos *Túneles con seda y pelusa *Presencia del capullo,El problema es par­ticularmente serio en las cos­tas y Sur del país,*Mantener colonias fuertes *Equipo en buen estado *Buenas prácticas de manejo,*Fumigación de panales *Biocontrol (agentes biológicos registrados y autorizados en el país) *Congelamiento de panales
Pequeño Escarabajo de la Colmena  (PEC),MELÍFERA,Aethina tumida Murray,Fase adulta y larvaria las más dañinas *Se alimenta de las crías y/o miel *Destruye panales con cría *Fermenta la miel  *Aumenta la suscepti­bilidad de las abejas hacia otras enfermedades,En el año 2007,*Mantener colonias fuertes *Equipo en buen estado *Seleccionar abejas con alto comportamiento higiénico *Buenas prácticas de manejo,*Remover la tierra frente a las colmenas para cortar el ciclo de desarrollo de las pupas de la plaga
