anio,dolares
2004,31.433
2005,14.866
2006,16.297
2007,31.17
2008,13.46
2009,4.453
2010,387.851
2011,45.375
2012,49.483
2013,23.887
2014,4.629
2015,18.203
2016,11.11
2017,16.508
2018,22.533
2019,3.938
