Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2018,13,Hidalgo,61,Tulancingo,77,Tulancingo de Bravo,1,Abeja,7,Miel,18.31,0,40.74,746.035,0
2018,13,Hidalgo,60,Zacualtipán,14,Calnali,1,Abeja,2,Cera,1.839,0,73.79,135.7,0
2018,13,Hidalgo,60,Zacualtipán,14,Calnali,1,Abeja,7,Miel,31.53,0,40.24,1268.767,0
2018,13,Hidalgo,60,Zacualtipán,20,Eloxochitlán,1,Abeja,2,Cera,0.431,0,49.98,21.541,0
2018,13,Hidalgo,60,Zacualtipán,20,Eloxochitlán,1,Abeja,7,Miel,7.68,0,45.49,349.36,0
2018,13,Hidalgo,60,Zacualtipán,33,Juárez Hidalgo,1,Abeja,2,Cera,0.029,0,86.28,2.502,0
2018,13,Hidalgo,60,Zacualtipán,33,Juárez Hidalgo,1,Abeja,7,Miel,0.526,0,46.82,24.627,0
2018,13,Hidalgo,60,Zacualtipán,34,Lolotla,1,Abeja,2,Cera,0.528,0,59.91,31.632,0
2018,13,Hidalgo,60,Zacualtipán,34,Lolotla,1,Abeja,7,Miel,9.24,0,40.49,374.12,0
2018,13,Hidalgo,60,Zacualtipán,37,Metztitlán,1,Abeja,2,Cera,0.054,0,85.96,4.642,0
2018,13,Hidalgo,60,Zacualtipán,37,Metztitlán,1,Abeja,7,Miel,0.975,0,45.4,44.263,0
2018,13,Hidalgo,60,Zacualtipán,42,Molango de Escamilla,1,Abeja,2,Cera,0.23,0,50.33,11.576,0
2018,13,Hidalgo,60,Zacualtipán,42,Molango de Escamilla,1,Abeja,7,Miel,4.12,0,45.75,188.47,0
2018,13,Hidalgo,60,Zacualtipán,36,San Agustín Metzquititlán,1,Abeja,2,Cera,0.065,0,94.05,6.113,0
2018,13,Hidalgo,60,Zacualtipán,36,San Agustín Metzquititlán,1,Abeja,7,Miel,1.17,0,42.24,49.425,0
2018,13,Hidalgo,60,Zacualtipán,62,Tepehuacán de Guerrero,1,Abeja,2,Cera,0.959,0,58.97,56.552,0
2018,13,Hidalgo,60,Zacualtipán,62,Tepehuacán de Guerrero,1,Abeja,7,Miel,16.78,0,40.74,683.69,0
2018,13,Hidalgo,60,Zacualtipán,68,Tianguistengo,1,Abeja,2,Cera,0.061,0,94.92,5.79,0
2018,13,Hidalgo,60,Zacualtipán,68,Tianguistengo,1,Abeja,7,Miel,1.09,0,40.74,44.41,0
2018,13,Hidalgo,60,Zacualtipán,71,Tlahuiltepa,1,Abeja,2,Cera,0.696,0,36.19,25.188,0
2018,13,Hidalgo,60,Zacualtipán,71,Tlahuiltepa,1,Abeja,7,Miel,12.17,0,45.74,556.656,0
2018,13,Hidalgo,60,Zacualtipán,73,Tlanchinol,1,Abeja,2,Cera,1.65,0,67.66,111.639,0
2018,13,Hidalgo,60,Zacualtipán,73,Tlanchinol,1,Abeja,7,Miel,28.28,0,40.24,1137.987,0
2018,13,Hidalgo,60,Zacualtipán,79,Xochicoatlán,1,Abeja,2,Cera,0.074,0,59.65,4.414,0
2018,13,Hidalgo,60,Zacualtipán,79,Xochicoatlán,1,Abeja,7,Miel,1.34,0,46.24,61.965,0
2018,13,Hidalgo,60,Zacualtipán,81,Zacualtipán de Ángeles,1,Abeja,2,Cera,0.074,0,31.51,2.332,0
2018,13,Hidalgo,60,Zacualtipán,81,Zacualtipán de Ángeles,1,Abeja,7,Miel,1.335,0,40.74,54.39,0
2018,14,Jalisco,67,Ameca,3,Ahualulco de Mercado,1,Abeja,2,Cera,5.665,0,95.5,541.008,0
2018,14,Jalisco,67,Ameca,3,Ahualulco de Mercado,1,Abeja,7,Miel,166.697,0,50.03,8339.446,0
