num,Entidad,Toneladas
1,Aguascalientes,582
2,Baja California,120
3,Baja California Sur,219
4,Campeche,7520
5,Coahuila,224
6,Colima,488
7,Chiapas,5500
8,Chihuahua,641
9,Ciudad de México,99
10,Durango,466
11,Guanajuato,565
12,Guerrero,2029
13,Hidalgo,1358
14,Jalisco,5948
15,Estado de México,929
16,Michoacán,2037
17,Morelos,1928
18,Nayarit,422
19,Nuevo León,188
20,Oaxaca,4668
21,Puebla,2477
22,Querétaro,77
23,Quintana Roo,3255
24,San Luis Potosí,1126
25,Sinaloa,178
26,Sonora,569
27,Tabasco,399
28,Tamaulipas,608
29,Tlaxcala,748
30,Veracruz,4798
31,Yucatán,9810
32,Zacatecas,2009
