anio,mes,pais_de_origen_destino,dolares
2013,Noviembre,Suiza,305645
2007,Febrero,Reino Unido,304054
2002,Julio,Suiza,303905
2014,Agosto,Portugal,301860
2009,Junio,Bélgica,301506
2013,Enero,Bélgica,300809
2010,Junio,Francia,300778
2010,Agosto,Japón,300064
2014,Abril,Países Bajos,299929
2015,Agosto,España,299363
2016,Marzo,Arabia Saudita,295973
2004,Diciembre,Reino Unido,295842
2015,Diciembre,Suiza,293585
2013,Octubre,Reino Unido,290786
2012,Junio,España,288000
2016,Agosto,España,285695
2005,Abril,Suiza,285027
2018,Octubre,Suiza,284160
2003,Mayo,Reino Unido,283681
2018,Enero,España,283595
2013,Septiembre,Arabia Saudita,283217
2003,Septiembre,Reino Unido,282543
2018,Abril,Bélgica,281220
2006,Agosto,Suiza,280203
2003,Diciembre,Reino Unido,280078
2004,Mayo,Suiza,280032
2004,Noviembre,Alemania,279742
2007,Enero,Estados Unidos,279535
2014,Noviembre,España,279000
2005,Agosto,Reino Unido,277937
2009,Diciembre,Bélgica,277790
2015,Octubre,Países Bajos,276974
2011,Agosto,Arabia Saudita,276811
2018,Abril,Francia,275640
2009,Agosto,Bélgica,274114
2013,Junio,Francia,273330
2008,Agosto,Japón,272727
2009,Septiembre,Estados Unidos,272303
2008,Marzo,Países Bajos,271320
2018,Noviembre,Bélgica,271320
2010,Diciembre,Estados Unidos,271086
2010,Agosto,Arabia Saudita,270825
2017,Febrero,Reino Unido,268819
2007,Febrero,Suiza,267969
2006,Febrero,Suiza,267339
2017,Octubre,Italia,266700
2006,Junio,Bélgica,266321
2017,Agosto,Bélgica,265575
2008,Diciembre,Reino Unido,265080
2004,Agosto,Arabia Saudita,264477
2016,Abril,Reino Unido,264150
2009,Agosto,España,264004
2018,Febrero,Estados Unidos,263388
2014,Agosto,España,263339
2010,Julio,Ucrania,263088
2015,Marzo,España,262799
2012,Agosto,Francia,262080
2007,Septiembre,Reino Unido,260636
2006,Octubre,Arabia Saudita,260544
2011,Mayo,Japón,260190
2012,Julio,Japón,259929
2016,Noviembre,Países Bajos,259199
2012,Julio,Arabia Saudita,259129
2010,Marzo,Bélgica,258944
2009,Agosto,Portugal,258888
2013,Marzo,Bélgica,258345
2010,Agosto,Ucrania,257223
2005,Abril,Reino Unido,256955
2005,Julio,Bélgica,255678
2018,Julio,Dinamarca,255360
2011,Agosto,Suiza,255268
2010,Enero,Bélgica,254880
2003,Mayo,Japón,254664
2016,Febrero,Reino Unido,251235
2018,Agosto,Bélgica,251078
2014,Mayo,Francia,249323
2015,Octubre,Bélgica,249279
2017,Febrero,Bélgica,248850
2012,Julio,Suiza,247012
2015,Mayo,China,244521
2014,Febrero,Suiza,244012
2011,Junio,Bélgica,243439
2015,Octubre,Suiza,243167
2015,Junio,España,242376
2012,Febrero,Reino Unido,242339
2013,Junio,Japón,240667
2015,Enero,Suiza,240083
2011,Agosto,Francia,239399
2012,Noviembre,Suiza,239396
2016,Agosto,Japón,239004
2014,Diciembre,Reino Unido,237600
2018,Octubre,Polonia,237600
2013,Junio,Austria,237599
2005,Octubre,Alemania,236792
2011,Marzo,Estados Unidos,236706
2012,Julio,Bélgica,235797
2008,Julio,Estados Unidos,234382
2016,Mayo,Bélgica,233326
2013,Marzo,Estados Unidos,233095
2004,Abril,Bélgica,231448
2008,Febrero,Estados Unidos,230229
2017,Marzo,Suiza,229431
2005,Junio,Estados Unidos,229090
2012,Enero,Estados Unidos,228084
2006,Julio,Estados Unidos,227975
2017,Julio,Francia,227010
2006,Mayo,Bélgica,225895
2017,Febrero,España,225768
2005,Junio,Bélgica,224569
2010,Septiembre,Japón,223380
2013,Noviembre,Japón,223200
2005,Agosto,Suiza,222386
2006,Agosto,Bélgica,221888
2003,Julio,Bélgica,220362
2018,Junio,Países Bajos,220128
2013,Julio,Países Bajos,220019
2008,Abril,España,219615
2004,Enero,Suiza,219240
2009,Julio,Estados Unidos,219207
2016,Mayo,China,219159
2016,Febrero,Suiza,218004
2014,Febrero,Reino Unido,217767
2006,Marzo,Suiza,217617
2004,Marzo,Estados Unidos,216858
2002,Junio,Arabia Saudita,216669
2005,Noviembre,Reino Unido,216653
2004,Junio,España,216023
2017,Febrero,Italia,214998
2011,Diciembre,Reino Unido,214778
2006,Octubre,Países Bajos,214654
2018,Enero,Suiza,214232
2010,Diciembre,Japón,214200
2005,Enero,Suiza,214072
2009,Agosto,Japón,214065
2006,Abril,Estados Unidos,213941
2018,Febrero,Reino Unido,213120
2015,Agosto,Portugal,213119
2015,Septiembre,Portugal,213119
2011,Enero,Reino Unido,212544
2017,Septiembre,Italia,208384
2008,Mayo,España,208080
2015,Octubre,Portugal,207750
2009,Enero,Arabia Saudita,206238
2016,Diciembre,Suiza,206234
2017,Mayo,China,205899
2003,Marzo,Bélgica,205568
2012,Octubre,Arabia Saudita,205274
2006,Febrero,Bélgica,204590
2005,Octubre,Reino Unido,204444
2003,Febrero,Suiza,204302
2016,Noviembre,Bélgica,204283
2007,Noviembre,Suiza,201719
2013,Septiembre,Bélgica,201603
2011,Noviembre,Reino Unido,200749
2007,Noviembre,Estados Unidos,200457
2008,Octubre,Reino Unido,200037
2017,Marzo,Arabia Saudita,199800
2009,Abril,Japón,198294
2007,Febrero,Estados Unidos,197622
2007,Junio,Países Bajos,197286
2016,Diciembre,Portugal,197100
2004,Agosto,Estados Unidos,196175
2010,Junio,Ucrania,195490
2018,Octubre,Bélgica,195343
2017,Junio,República Checa,194400
2017,Diciembre,Arabia Saudita,194028
2010,Octubre,Reino Unido,193560
2008,Junio,Japón,192960
2010,Noviembre,Estados Unidos,192950
2005,Octubre,Estados Unidos,192685
2012,Marzo,Bélgica,191924
2012,Abril,Brasil,190836
2015,Julio,Francia,190139
2013,Febrero,Bélgica,189702
2011,Enero,Estados Unidos,189453
2018,Febrero,Suiza,189240
2010,Noviembre,Suiza,189000
2016,Septiembre,Francia,188803
2007,Diciembre,Reino Unido,188726
2010,Febrero,Reino Unido,188663
2013,Enero,Reino Unido,188634
2012,Junio,Austria,187883
2015,Febrero,Austria,186720
2013,Octubre,Japón,186659
2017,Diciembre,Países Bajos,186507
2011,Noviembre,Estados Unidos,186235
2006,Diciembre,Suiza,185926
2007,Octubre,Reino Unido,185305
2016,Diciembre,Japón,185242
2009,Enero,Suiza,184190
2011,Diciembre,Estados Unidos,183780
2012,Agosto,Japón,183600
2007,Julio,Países Bajos,183047
2003,Julio,Islas Vírgenes (Reino Unido),182700
2003,Junio,Japón,182477
2015,Mayo,España,182095
2018,Noviembre,España,181468
2014,Mayo,España,181440
2007,Octubre,Arabia Saudita,180871
2010,Enero,Suiza,180390
2004,Marzo,España,179820
2004,Diciembre,Suiza,179718
2003,Agosto,Islas Vírgenes (Reino Unido),179550
2010,Noviembre,Reino Unido,178780
2018,Enero,Reino Unido,177809
2004,Junio,Japón,177615
2005,Septiembre,Estados Unidos,177611
2016,Septiembre,España,177513
2006,Noviembre,Reino Unido,176590
2014,Enero,Suiza,176319
2006,Enero,Suiza,175938
2002,Septiembre,Alemania,174986
2005,Julio,Arabia Saudita,174549
2006,Marzo,Bélgica,174399
2008,Enero,Suiza,174339
2010,Enero,Estados Unidos,174078
2003,Enero,Arabia Saudita,173848
2007,Marzo,Arabia Saudita,173696
2017,Agosto,Japón,173116
2017,Noviembre,España,172416
2009,Marzo,Estados Unidos,171963
2017,Septiembre,Países Bajos,171828
2017,Octubre,Países Bajos,171828
2009,Febrero,Estados Unidos,169954
2005,Septiembre,Alemania,169920
2016,Agosto,China,168559
2011,Abril,España,167280
2011,Mayo,España,167280
2017,Agosto,Francia,167184
2017,Junio,Países Bajos,166752
2017,Agosto,Países Bajos,166752
2015,Octubre,Arabia Saudita,166440
2003,Marzo,Suiza,166375
2017,Julio,Italia,166320
2016,Julio,España,166034
2016,Marzo,Italia,165689
2017,Septiembre,España,165060
2009,Abril,Bélgica,165050
2011,Octubre,Estados Unidos,164949
2018,Enero,Francia,164816
2012,Septiembre,Japón,164502
2018,Febrero,Francia,164379
2006,Febrero,Reino Unido,164264
2012,Diciembre,Japón,164218
2014,Junio,Australia,164160
2018,Septiembre,Dinamarca,163800
2017,Septiembre,Francia,163761
2002,Noviembre,Suiza,163070
2004,Junio,Italia,162673
2017,Diciembre,Suiza,162667
2005,Marzo,Reino Unido,162359
2009,Agosto,Arabia Saudita,161997
2013,Septiembre,Japón,160799
2003,Agosto,Japón,159900
2002,Agosto,Suiza,159840
2005,Febrero,Estados Unidos,159537
2017,Mayo,Reino Unido,159414
2012,Junio,Japón,159191
2014,Agosto,Japón,159190
2013,Mayo,Austria,158400
2017,Mayo,Suiza,158175
2014,Septiembre,Países Bajos,157762
2011,Abril,Italia,157440
2005,Diciembre,Suiza,157320
2014,Agosto,Arabia Saudita,156529
2015,Marzo,Australia,156302
2011,Mayo,Bélgica,156206
2012,Mayo,China,156110
2018,Octubre,República Checa,155556
2018,Diciembre,Bélgica,155496
2005,Febrero,Reino Unido,155145
2002,Agosto,Reino Unido,154833
2005,Agosto,Estados Unidos,154501
2011,Abril,Japón,154242
2014,Mayo,Venezuela,153546
2004,Febrero,Reino Unido,153300
2006,Agosto,Países Bajos,153300
2005,Enero,Venezuela,152996
2010,Agosto,Suiza,152970
2017,Enero,Italia,152476
2010,Diciembre,Suecia,152150
2007,Julio,Bélgica,152070
2018,Noviembre,Italia,150648
2008,Enero,Bélgica,150520
2008,Octubre,Estados Unidos,149774
2010,Agosto,Italia,149517
2014,Febrero,Venezuela,149418
2015,Agosto,Venezuela,149246
2008,Febrero,Bélgica,148638
2007,Enero,Reino Unido,147574
2004,Enero,Arabia Saudita,147456
2009,Diciembre,Estados Unidos,147018
2005,Marzo,Venezuela,146880
2005,Marzo,Estados Unidos,145465
2010,Febrero,Estados Unidos,145408
2018,Julio,Japón,144958
2012,Febrero,Austria,144431
2018,Noviembre,Japón,144321
2018,Septiembre,Colombia,144000
2008,Noviembre,Reino Unido,143896
2012,Octubre,Suiza,143279
2007,Agosto,Países Bajos,142800
2011,Enero,Japón,142800
2002,Mayo,Italia,142734
2010,Febrero,Arabia Saudita,142680
2015,Noviembre,Portugal,142080
2012,Octubre,Reino Unido,142079
2007,Junio,Japón,142039
2011,Mayo,Polonia,141458
2017,Junio,Panamá,140961
2018,Junio,Italia,140763
2011,Marzo,Reino Unido,140700
2017,Enero,España,140700
2009,Julio,Suiza,140622
2002,Junio,Japón,140400
2018,Abril,Panamá,140400
2018,Mayo,Panamá,140400
2018,Agosto,Panamá,140400
2011,Mayo,China,139766
2015,Noviembre,Estados Unidos,139066
2016,Diciembre,Francia,138850
2015,Octubre,España,138569
2006,Octubre,Reino Unido,137949
2015,Diciembre,Bélgica,137674
2002,Diciembre,Bélgica,137413
2005,Mayo,Bélgica,137273
2018,Febrero,Japón,137174
2013,Junio,España,136958
2003,Enero,Bélgica,136478
2013,Agosto,Arabia Saudita,136239
2005,Agosto,Bélgica,135973
2010,Agosto,Bélgica,135841
2008,Enero,Estados Unidos,135786
2016,Diciembre,China,135450
2013,Agosto,Países Bajos,135000
2005,Marzo,Suiza,134598
2009,Febrero,Francia,133992
2002,Mayo,Países Bajos,133929
2004,Septiembre,Estados Unidos,133252
2018,Julio,España,132390
2014,Enero,Reino Unido,132299
2016,Octubre,Colombia,132000
2008,Mayo,Francia,131940
2004,Agosto,Países Bajos,131760
2005,Enero,Reino Unido,131084
2012,Julio,Francia,131038
2012,Julio,Austria,130980
2007,Agosto,Bélgica,130582
2014,Octubre,España,130018
2016,Marzo,Suiza,129600
2009,Octubre,China,129514
2017,Junio,China,129406
2015,Noviembre,España,128324
2011,Julio,Bélgica,128250
2003,Abril,Japón,128232
2012,Abril,Francia,127125
2016,Mayo,Japón,126983
2010,Octubre,Francia,126220
2017,Enero,Japón,125205
2003,Mayo,Canadá,124950
2003,Octubre,Suiza,124419
2017,Septiembre,Japón,124092
2006,Diciembre,Reino Unido,124002
2008,Junio,China,123600
2005,Mayo,España,123190
2006,Junio,Venezuela,123120
2018,Junio,China,122541
2007,Julio,Italia,122485
2017,Julio,República Checa,121800
2004,Mayo,Italia,121263
2016,Mayo,Países Bajos,121173
2012,Mayo,Países Bajos,121104
2016,Febrero,Arabia Saudita,119699
2017,Mayo,Bélgica,119600
2017,Noviembre,Reino Unido,119263
2012,Marzo,Reino Unido,118552
2003,Mayo,Italia,118396
2017,Junio,Portugal,117660
2006,Febrero,Estados Unidos,116750
2003,Noviembre,Reino Unido,116607
2002,Mayo,Japón,116137
2004,Febrero,Suiza,115345
2007,Julio,Bulgaria,115121
2004,Septiembre,Bélgica,114972
2017,Marzo,Dinamarca,114954
2012,Agosto,Bélgica,114876
2010,Enero,Arabia Saudita,114720
2008,Marzo,España,114667
2006,Marzo,Estados Unidos,114636
2017,Abril,Dinamarca,114222
2007,Enero,Suiza,112752
2004,Marzo,Suiza,112604
2004,Abril,Países Bajos,112104
2003,Noviembre,Bélgica,111797
2009,Enero,Estados Unidos,110718
2018,Octubre,España,110160
2018,Abril,Japón,109080
2006,Noviembre,Arabia Saudita,109032
2004,Marzo,Países Bajos,108469
2003,Diciembre,Suiza,107711
2004,Agosto,Suiza,107488
2004,Septiembre,Japón,106956
2004,Septiembre,Suiza,106614
2010,Noviembre,Portugal,106318
2018,Noviembre,Francia,106303
2006,Septiembre,Reino Unido,106070
2008,Septiembre,Japón,105834
2018,Febrero,España,105355
2003,Febrero,Bélgica,104325
2017,Abril,Reino Unido,103140
2017,Enero,Reino Unido,102375
2015,Diciembre,Países Bajos,101086
2005,Febrero,Arabia Saudita,100224
2005,Agosto,Venezuela,99538
2018,Febrero,Dinamarca,99428
2005,Enero,Estados Unidos,99273
2002,Julio,Bélgica,97915
2008,Septiembre,Estados Unidos,97711
2015,Abril,Japón,97704
2015,Mayo,Japón,97704
2004,Octubre,Reino Unido,97440
2018,Diciembre,Japón,96929
2005,Septiembre,Reino Unido,96251
2005,Diciembre,Estados Unidos,95881
2018,Mayo,Dinamarca,95760
2016,Enero,Japón,94725
2014,Marzo,China,94156
2014,Junio,Países Bajos,93668
2006,Marzo,Venezuela,93480
2013,Mayo,Japón,93330
2002,Julio,Arabia Saudita,93300
2006,Mayo,España,93294
2015,Octubre,Japón,93240
2011,Junio,China,92429
2015,Mayo,Colombia,92399
2002,Septiembre,Reino Unido,92378
2013,Mayo,Suiza,91886
2012,Octubre,Japón,91800
2007,Septiembre,Venezuela,91654
2014,Abril,España,90720
2014,Junio,España,90720
2018,Marzo,España,90720
2007,Diciembre,Venezuela,90270
2002,Julio,Japón,89700
2013,Marzo,Austria,89497
2013,Junio,China,89295
2012,Mayo,Japón,88416
2013,Abril,Austria,88319
2006,Enero,Arabia Saudita,87552
2015,Febrero,España,87514
2015,Marzo,Polonia,87039
2006,Julio,Bélgica,87004
2010,Junio,Japón,86700
2014,Julio,China,86478
2012,Diciembre,Suiza,85896
2015,Junio,Francia,85319
2017,Enero,Países Bajos,85200
2018,Febrero,Bélgica,85128
2006,Octubre,Bélgica,85042
2016,Junio,España,85033
2018,Enero,Bélgica,84977
2018,Abril,España,84957
2015,Febrero,Francia,84730
2017,Octubre,Dinamarca,84672
2013,Septiembre,China,84622
2017,Agosto,España,84546
2017,Diciembre,Bélgica,84509
2016,Agosto,Italia,84470
2018,Agosto,España,84180
2016,Septiembre,Suiza,83529
2014,Septiembre,Japón,83415
2018,Septiembre,Francia,83160
2017,Enero,Francia,82960
2011,Noviembre,Japón,82768
2006,Enero,Estados Unidos,82235
2009,Marzo,China,82114
2006,Mayo,Países Bajos,82094
2011,Mayo,Francia,82080
2011,Julio,Francia,82080
2014,Abril,Francia,81923
2017,Mayo,Canadá,81296
2005,Junio,Italia,80992
2010,Abril,España,80917
2007,Mayo,Bélgica,80430
2016,Julio,Italia,80219
2015,Julio,Italia,80074
2016,Octubre,Suiza,80034
2015,Agosto,Italia,80002
2018,Julio,Suiza,79920
2014,Agosto,Suiza,79822
2017,Julio,Canadá,79714
2007,Junio,Francia,79695
2014,Septiembre,Arabia Saudita,79391
2013,Abril,Venezuela,79344
2005,Septiembre,Bélgica,79338
2009,Junio,Francia,79325
2013,Noviembre,Bélgica,79308
2015,Marzo,Países Bajos,79254
2002,Abril,Japón,79124
2012,Abril,Venezuela,78724
2007,Mayo,Japón,78516
2010,Mayo,España,78246
2013,Octubre,Venezuela,78059
2013,Octubre,Bélgica,77907
2012,Octubre,Francia,77834
2007,Abril,Venezuela,77760
2014,Noviembre,Italia,77711
2011,Junio,Japón,77526
2010,Agosto,Polonia,77280
2015,Abril,Países Bajos,77256
2014,Septiembre,Venezuela,76903
2015,Junio,Venezuela,76903
2017,Octubre,Colombia,76800
2018,Febrero,Colombia,76800
2018,Marzo,Colombia,76800
2011,Julio,Italia,76769
2014,Junio,Italia,76662
2009,Julio,España,76560
2011,Agosto,Japón,76379
2007,Agosto,Suiza,76346
2014,Mayo,China,76125
2014,Junio,China,76124
2013,Marzo,Venezuela,75826
2014,Mayo,Países Bajos,75600
2018,Mayo,España,75600
2015,Junio,Canadá,75599
2018,Febrero,Italia,75563
2016,Enero,Suiza,75155
2011,Agosto,Países Bajos,74999
2005,Febrero,Suiza,74970
2010,Octubre,Italia,74860
2011,Octubre,Venezuela,74661
2013,Julio,Venezuela,74623
2015,Octubre,Venezuela,74623
2013,Noviembre,China,74306
2013,Agosto,Japón,74255
2011,Enero,Austria,74222
2013,Enero,China,74095
2013,Abril,China,74095
2014,Enero,China,74094
2013,Agosto,Italia,74073
2013,Julio,Italia,73989
2014,Abril,Suiza,73950
2012,Julio,Venezuela,73869
2011,Diciembre,Japón,73644
2012,Junio,China,73587
2012,Septiembre,China,73587
2013,Agosto,Francia,73500
2018,Noviembre,República Checa,73339
2002,Julio,Puerto Rico,73303
2008,Marzo,Estados Unidos,73226
2011,Febrero,China,73080
2011,Septiembre,China,73080
2013,Junio,Países Bajos,73080
2013,Julio,Francia,72764
2011,Mayo,Venezuela,72617
2015,Noviembre,Francia,72562
2017,Noviembre,Francia,72445
2013,Febrero,Japón,72338
2009,Febrero,Italia,72308
2014,Marzo,Países Bajos,72149
2006,Junio,Italia,72143
2017,Noviembre,Arabia Saudita,71820
2017,Mayo,España,71218
2011,Marzo,Venezuela,71213
2010,Junio,China,71050
2010,Septiembre,China,71050
2010,Noviembre,China,71050
2013,Febrero,Austria,71035
2017,Enero,Bélgica,71000
2017,Octubre,España,70950
2010,Marzo,Estados Unidos,70757
2005,Abril,Bélgica,70439
2018,Septiembre,Panamá,70200
2018,Noviembre,Panamá,70200
2018,Diciembre,Panamá,70200
2013,Mayo,Francia,69818
2013,Mayo,Países Bajos,69637
2011,Agosto,Polonia,69529
2010,Noviembre,Italia,69138
2015,Noviembre,Suiza,69119
2011,Diciembre,Arabia Saudita,68912
2018,Julio,Colombia,68400
2011,Agosto,Guatemala,67999
2009,Junio,Venezuela,67803
2009,Agosto,Venezuela,67803
2018,Julio,Italia,67725
2009,Septiembre,Venezuela,67502
2009,Diciembre,Venezuela,67502
2010,Febrero,Venezuela,67502
2010,Marzo,Venezuela,67502
2010,Julio,Venezuela,67502
2017,Marzo,Noruega,67500
2014,Octubre,Canadá,67452
2009,Mayo,Bélgica,67392
2016,Noviembre,Suiza,67379
2016,Agosto,Colombia,67200
2018,Noviembre,Colombia,67200
2007,Diciembre,Suiza,66816
2015,Noviembre,China,66457
2007,Diciembre,Estados Unidos,66431
2010,Abril,Japón,66150
2016,Enero,China,66080
2016,Diciembre,Colombia,66000
2017,Febrero,Colombia,66000
2016,Septiembre,Colombia,65999
2018,Diciembre,Italia,65467
2012,Junio,Bélgica,65249
2010,Marzo,Austria,65195
2018,Septiembre,Omán,65100
2008,Diciembre,Venezuela,64800
2012,Mayo,Francia,64800
2009,Junio,China,64757
2009,Agosto,China,64757
2009,Agosto,Estados Unidos,64711
2009,Diciembre,Arabia Saudita,64475
2010,Octubre,Arabia Saudita,64475
2002,Abril,Puerto Rico,64238
2009,Septiembre,Bélgica,63908
2009,Abril,China,63832
2009,Enero,Francia,63691
2008,Mayo,China,63623
2012,Agosto,Austria,63240
2003,Marzo,Países Bajos,63000
2003,Mayo,Países Bajos,63000
2012,Agosto,Suiza,62474
2012,Marzo,Guatemala,62000
2004,Febrero,Bélgica,61950
2009,Febrero,China,61785
2008,Diciembre,China,61781
2017,Abril,Japón,61563
2017,Mayo,Japón,61560
2004,Abril,Italia,61471
2013,Diciembre,Japón,61199
2018,Julio,Emiratos Árabes Unidos,60900
2016,Marzo,Japón,60898
2011,Octubre,China,60684
2016,Noviembre,Japón,60534
2004,Julio,Bélgica,60193
2008,Junio,España,60180
2012,Agosto,Arabia Saudita,60176
2010,Enero,Italia,60099
2017,Febrero,Arabia Saudita,60000
2018,Septiembre,Suiza,60000
2018,Noviembre,Suiza,60000
2008,Octubre,Arabia Saudita,59850
2008,Diciembre,Arabia Saudita,59850
2008,Agosto,España,59295
2003,Noviembre,Filipinas,58963
2003,Junio,Países Bajos,58867
2018,Agosto,Italia,58695
2016,Julio,China,58612
2009,Febrero,Venezuela,58575
2016,Marzo,China,58528
2004,Mayo,Japón,58429
2016,Octubre,Japón,58429
2015,Junio,Colombia,58320
2015,Julio,Colombia,58319
2004,Octubre,Filipinas,58166
2015,Marzo,Colombia,58008
2008,Diciembre,Estados Unidos,57883
2003,Diciembre,Bélgica,57750
2003,Diciembre,Japón,57600
2016,Diciembre,Canadá,57420
2008,Abril,China,57407
2004,Abril,Filipinas,57355
2004,Septiembre,Arabia Saudita,57172
2018,Junio,Francia,57155
2017,Marzo,China,57099
2004,Octubre,Venezuela,56770
2003,Agosto,Italia,56730
2003,Febrero,Austria,56700
2003,Octubre,Reino Unido,56700
2004,Agosto,Venezuela,56600
2016,Noviembre,Panamá,56470
2016,Octubre,Países Bajos,56167
2008,Julio,Italia,56163
2016,Octubre,Panamá,56160
2004,Julio,Suiza,55845
2009,Marzo,Arabia Saudita,55680
2003,Octubre,Bélgica,55098
2009,Noviembre,Bélgica,54979
2017,Septiembre,China,54830
2017,Octubre,China,54830
2016,Septiembre,Japón,54809
2010,Mayo,Polonia,54693
2016,Octubre,España,54600
2015,Octubre,Colombia,54000
2015,Diciembre,Colombia,54000
2015,Septiembre,Colombia,53999
2009,Septiembre,Arabia Saudita,53336
2005,Julio,Estados Unidos,53334
2016,Marzo,Reino Unido,53279
2008,Marzo,Venezuela,53159
2008,Mayo,Venezuela,53159
2007,Noviembre,Bélgica,53028
2011,Febrero,Estados Unidos,53015
2017,Julio,China,52940
2007,Enero,Bélgica,52552
2004,Agosto,Japón,52530
2008,Marzo,Bélgica,52500
2007,Junio,Bélgica,52461
2012,Septiembre,Bélgica,52346
2017,Enero,Panamá,51840
2003,Julio,Filipinas,51811
2007,Noviembre,Reino Unido,51778
2006,Octubre,Italia,51660
2003,Abril,Bélgica,51357
2002,Octubre,Suiza,50995
2007,Julio,Francia,50976
2003,Enero,Suiza,50925
2004,Octubre,Alemania,49980
2007,Octubre,Venezuela,49803
2005,Mayo,Venezuela,49769
2007,Diciembre,Bélgica,49741
2008,Enero,China,49181
2007,Agosto,Italia,48927
2017,Marzo,España,48720
2017,Abril,Francia,48720
2011,Septiembre,Japón,48671
2016,Diciembre,España,48600
2008,Julio,Japón,48591
2004,Diciembre,Venezuela,48565
2006,Enero,Venezuela,48565
2005,Agosto,Japón,48240
2006,Julio,Japón,48240
2016,Agosto,República Checa,47790
2017,Enero,Austria,47520
2017,Marzo,Canadá,47520
2002,Mayo,Venezuela,47359
2007,Julio,Japón,47235
2017,Marzo,Austria,47190
2006,Julio,Venezuela,46740
2006,Agosto,Venezuela,46740
2007,Agosto,Francia,46319
2011,Agosto,Italia,45795
2007,Febrero,Venezuela,45135
2007,Julio,Venezuela,45135
2005,Septiembre,Filipinas,45133
2006,Julio,Italia,45127
2005,Marzo,Filipinas,44895
2009,Marzo,Japón,44681
2005,Febrero,Países Bajos,44417
2005,Noviembre,Suiza,43972
2018,Abril,Canadá,42840
2018,Septiembre,España,42776
2008,Enero,Arabia Saudita,42480
2007,Junio,Irlanda,42180
2004,Octubre,Bélgica,41872
2005,Junio,España,41688
2005,Julio,Marruecos,41310
2010,Septiembre,Bélgica,41244
2002,Septiembre,Filipinas,41123
2006,Abril,Bélgica,40956
2005,Mayo,Italia,40513
2016,Noviembre,China,40500
2005,Agosto,Italia,40146
2002,Agosto,Bélgica,39960
2006,Agosto,Islas Vírgenes (Reino Unido),39960
2007,Septiembre,Bélgica,39618
2005,Marzo,Francia,39506
2012,Diciembre,Venezuela,39506
2002,Junio,Italia,39501
2006,Septiembre,Islas Vírgenes (Reino Unido),39312
2005,Enero,Bélgica,39185
2006,Noviembre,Bélgica,38998
2005,Febrero,Francia,38359
2004,Noviembre,Reino Unido,38310
2007,Junio,España,37540
2012,Noviembre,China,37120
2002,Junio,Puerto Rico,36932
2006,Septiembre,Países Bajos,36720
2010,Octubre,Ucrania,36300
2016,Octubre,Francia,36239
2012,Septiembre,Italia,36027
2002,Agosto,Países Bajos,36000
2018,Septiembre,Japón,35872
2010,Junio,Italia,35640
2009,Septiembre,Italia,35441
2006,Mayo,Islas Vírgenes (EU),34744
2005,Junio,Países Bajos,34452
2003,Junio,Italia,34166
2004,Diciembre,Arabia Saudita,33984
2002,Abril,Italia,33215
2005,Diciembre,Reino Unido,33180
2006,Enero,Reino Unido,33180
2011,Mayo,Países Bajos,33000
2016,Octubre,Sudáfrica,32879
2002,Mayo,España,32663
2002,Junio,Canadá,32538
2002,Mayo,Puerto Rico,32025
2005,Septiembre,Suiza,31649
2017,Agosto,Italia,30991
2002,Abril,Costa Rica,30720
2007,Mayo,Italia,30450
2005,Septiembre,Italia,29252
2004,Agosto,Costa Rica,29202
2008,Agosto,Francia,28800
2005,Enero,Costa Rica,28272
2003,Octubre,Colombia,27473
2018,Junio,Tailandia,26196
2018,Septiembre,Tailandia,26196
2018,Noviembre,Tailandia,26196
2004,Diciembre,Países Bajos,25920
2013,Abril,Brasil,25219
2005,Julio,Italia,20875
2016,Febrero,Japón,20510
2002,Agosto,Panamá,18585
2003,Agosto,Bélgica,17780
2002,Mayo,Panamá,17553
2004,Diciembre,España,17416
2008,Noviembre,Estados Unidos,16469
2004,Abril,Hong Kong,15600
2008,Mayo,República Árabe Siria,15104
2013,Agosto,Hong Kong,14928
2015,Abril,China,14778
2016,Abril,China,14778
2018,Julio,India,13594
2015,Septiembre,Emiratos Árabes Unidos,13167
2014,Agosto,Colombia,13139
2006,Junio,Francia,12500
2007,Mayo,Francia,12500
2006,Julio,Panamá,12000
2014,Noviembre,China,11368
2011,Noviembre,China,11367
2012,Julio,China,11367
2013,Febrero,China,11367
2015,Diciembre,China,11367
2009,Noviembre,Honduras,11333
2005,Febrero,China,10672
2018,Abril,Taiwán,10415
2004,Septiembre,Francia,8640
2005,Mayo,Francia,8640
2015,Noviembre,Japón,8109
2009,Junio,Japón,7922
2003,Mayo,Honduras,7500
2018,Mayo,China,7200
2018,Noviembre,China,7080
2018,Septiembre,Países no Identificados,6863
2018,Septiembre,Emiratos Árabes Unidos,6834
2005,Mayo,Costa Rica,6680
2004,Enero,Hong Kong,6192
2015,Junio,China,5841
2002,Abril,Honduras,5720
2017,Diciembre,Hong Kong,5538
2006,Agosto,Japón,5500
2012,Febrero,Países no Identificados,4730
2016,Septiembre,China,4720
2010,Febrero,Chile,4522
2012,Enero,Países no Identificados,4492
2018,Mayo,Francia,4320
2013,Marzo,Países no Identificados,4261
2012,Abril,Países no Identificados,4185
2012,Mayo,Países no Identificados,4063
2014,Abril,Países no Identificados,4029
2005,Marzo,El Salvador,4000
2005,Junio,El Salvador,4000
2014,Junio,Panamá,3990
2014,Marzo,Colombia,3967
2013,Enero,Países no Identificados,3961
