anio,mes,pais_de_origen_destino,dolares
2014,Julio,Reino Unido,2359086
2017,Agosto,Reino Unido,2344187
2013,Enero,Alemania,2342371
2009,Marzo,Alemania,2322599
2015,Junio,Reino Unido,2304822
2009,Junio,Reino Unido,2253294
2006,Noviembre,Alemania,2240227
2012,Julio,Estados Unidos,2233766
2010,Mayo,Estados Unidos,2230672
2008,Junio,Suiza,2225311
2018,Mayo,Reino Unido,2210533
2014,Junio,Arabia Saudita,2209986
2010,Noviembre,Alemania,2203949
2010,Marzo,Alemania,2201557
2003,Marzo,Estados Unidos,2198913
2009,Junio,Suiza,2196624
2017,Junio,Suiza,2177387
2010,Septiembre,Alemania,2160822
2003,Marzo,Alemania,2155055
2015,Julio,Reino Unido,2135037
2003,Mayo,Arabia Saudita,2133406
2011,Mayo,Estados Unidos,2133343
2013,Mayo,Reino Unido,2127315
2016,Noviembre,Alemania,2111396
2016,Octubre,Estados Unidos,2069897
2002,Diciembre,Alemania,2063545
2016,Septiembre,Estados Unidos,2058587
2016,Octubre,Alemania,2057290
2011,Febrero,Alemania,2055876
2003,Octubre,Estados Unidos,2052935
2015,Mayo,Reino Unido,2044345
2008,Agosto,Alemania,2038471
2003,Febrero,Alemania,2034923
2007,Junio,Reino Unido,2028576
2017,Abril,Alemania,2024761
2009,Octubre,Alemania,2017926
2015,Julio,Bélgica,1989567
2005,Julio,Alemania,1984196
2013,Noviembre,Alemania,1979703
2018,Abril,Arabia Saudita,1966559
2008,Julio,Reino Unido,1963126
2012,Abril,Suiza,1921128
2003,Enero,Alemania,1910721
2016,Diciembre,Estados Unidos,1903678
2004,Mayo,Reino Unido,1900946
2007,Mayo,Reino Unido,1882951
2006,Agosto,Alemania,1881158
2004,Junio,Estados Unidos,1873695
2015,Junio,Arabia Saudita,1859632
2006,Diciembre,Alemania,1839223
2005,Noviembre,Alemania,1835303
2010,Junio,Suiza,1832058
2012,Mayo,Estados Unidos,1820144
2012,Septiembre,Estados Unidos,1816416
2008,Febrero,Alemania,1813584
2014,Marzo,Estados Unidos,1809030
2018,Agosto,Reino Unido,1808303
2003,Junio,Reino Unido,1782894
2018,Julio,Estados Unidos,1777762
2011,Junio,Suiza,1776741
2014,Noviembre,Estados Unidos,1753889
2018,Abril,Reino Unido,1748188
2008,Mayo,Arabia Saudita,1731184
2011,Julio,Reino Unido,1711058
2013,Septiembre,Estados Unidos,1707700
2002,Julio,Estados Unidos,1702316
2018,Diciembre,Arabia Saudita,1685808
2009,Mayo,Reino Unido,1685778
2011,Junio,Estados Unidos,1684600
2012,Abril,Arabia Saudita,1682345
2016,Julio,Estados Unidos,1682161
2014,Octubre,Estados Unidos,1676566
2004,Junio,Suiza,1650414
2011,Mayo,Arabia Saudita,1632262
2011,Enero,Alemania,1622034
2015,Abril,Suiza,1606995
2015,Mayo,Suiza,1606439
2017,Mayo,Arabia Saudita,1591868
2014,Abril,Estados Unidos,1588476
2004,Junio,Reino Unido,1563371
2011,Marzo,Suiza,1554170
2005,Febrero,Alemania,1549694
2016,Agosto,Estados Unidos,1548808
2012,Diciembre,Estados Unidos,1544336
2017,Abril,Estados Unidos,1544256
2007,Julio,Reino Unido,1542731
2011,Abril,Suiza,1542238
2014,Septiembre,Estados Unidos,1523674
2007,Junio,Suiza,1521466
2014,Abril,Bélgica,1517750
2009,Mayo,Suiza,1512044
2013,Mayo,Arabia Saudita,1500846
2010,Mayo,Suiza,1495052
2003,Junio,Estados Unidos,1492253
2015,Agosto,Bélgica,1480483
2008,Enero,Alemania,1477915
2012,Noviembre,Estados Unidos,1472911
2012,Marzo,Estados Unidos,1463645
2016,Septiembre,Reino Unido,1452904
2016,Junio,Reino Unido,1446170
2002,Junio,Estados Unidos,1442633
2018,Abril,Suiza,1437252
2013,Mayo,Bélgica,1436183
2014,Septiembre,Alemania,1435305
2014,Noviembre,Alemania,1433502
2007,Mayo,Estados Unidos,1429305
2018,Junio,Reino Unido,1423303
2015,Abril,Bélgica,1417279
2004,Julio,Reino Unido,1399424
2011,Junio,Arabia Saudita,1385470
2005,Junio,Suiza,1384232
2010,Julio,Estados Unidos,1380185
2018,Noviembre,Alemania,1378665
2017,Septiembre,Alemania,1368269
2011,Julio,Suiza,1361837
2010,Marzo,Arabia Saudita,1360955
2017,Agosto,Estados Unidos,1353199
2002,Mayo,Reino Unido,1352458
2016,Agosto,Reino Unido,1342163
2011,Abril,Estados Unidos,1340615
2003,Julio,Estados Unidos,1338880
2018,Junio,Arabia Saudita,1338768
2013,Junio,Estados Unidos,1338054
2008,Mayo,Reino Unido,1334252
2016,Junio,Suiza,1332565
2005,Abril,Alemania,1331417
2002,Abril,Reino Unido,1328908
2014,Agosto,Estados Unidos,1322056
2008,Junio,Arabia Saudita,1317659
2018,Octubre,Alemania,1316556
